horizon,tier,execution,sigma_h_bps,r2,forecastable_bps,cost_bps,ratio
1m,HIGH,maker,25.4,0.001,0.8,2.88,0.279
1m,HIGH,maker,25.4,0.003,1.39,2.88,0.483
1m,HIGH,maker,25.4,0.005,1.8,2.88,0.623
1m,HIGH,maker,25.4,0.01,2.54,2.88,0.882
1m,MID,maker,36.14,0.001,1.14,2.88,0.397
1m,MID,maker,36.14,0.003,1.98,2.88,0.687
1m,MID,maker,36.14,0.005,2.56,2.88,0.887
1m,MID,maker,36.14,0.01,3.61,2.88,1.255
1m,LOW,maker,77.33,0.001,2.45,2.88,0.849
1m,LOW,maker,77.33,0.003,4.24,2.88,1.47
1m,LOW,maker,77.33,0.005,5.47,2.88,1.898
1m,LOW,maker,77.33,0.01,7.73,2.88,2.684
5m,HIGH,maker,48.26,0.001,1.53,2.88,0.53
5m,HIGH,maker,48.26,0.003,2.64,2.88,0.917
5m,HIGH,maker,48.26,0.005,3.41,2.88,1.184
5m,HIGH,maker,48.26,0.01,4.83,2.88,1.675
5m,MID,maker,57.11,0.001,1.81,2.88,0.627
5m,MID,maker,57.11,0.003,3.13,2.88,1.086
5m,MID,maker,57.11,0.005,4.04,2.88,1.402
5m,MID,maker,57.11,0.01,5.71,2.88,1.982
5m,LOW,maker,137.7,0.001,4.35,2.88,1.512
5m,LOW,maker,137.7,0.003,7.54,2.88,2.618
5m,LOW,maker,137.7,0.005,9.74,2.88,3.38
5m,LOW,maker,137.7,0.01,13.77,2.88,4.78
15m,HIGH,maker,73.3,0.001,2.32,2.88,0.805
15m,HIGH,maker,73.3,0.003,4.02,2.88,1.394
15m,HIGH,maker,73.3,0.005,5.18,2.88,1.799
15m,HIGH,maker,73.3,0.01,7.33,2.88,2.544
15m,MID,maker,86.27,0.001,2.73,2.88,0.947
15m,MID,maker,86.27,0.003,4.73,2.88,1.64
15m,MID,maker,86.27,0.005,6.1,2.88,2.117
15m,MID,maker,86.27,0.01,8.63,2.88,2.994
15m,LOW,maker,215.78,0.001,6.82,2.88,2.369
15m,LOW,maker,215.78,0.003,11.82,2.88,4.102
15m,LOW,maker,215.78,0.005,15.26,2.88,5.296
15m,LOW,maker,215.78,0.01,21.58,2.88,7.49
60m,HIGH,maker,132.77,0.001,4.2,2.88,1.457
60m,HIGH,maker,132.77,0.003,7.27,2.88,2.524
60m,HIGH,maker,132.77,0.005,9.39,2.88,3.259
60m,HIGH,maker,132.77,0.01,13.28,2.88,4.609
60m,MID,maker,151.95,0.001,4.81,2.88,1.668
60m,MID,maker,151.95,0.003,8.32,2.88,2.889
60m,MID,maker,151.95,0.005,10.74,2.88,3.73
60m,MID,maker,151.95,0.01,15.2,2.88,5.275
60m,LOW,maker,428.05,0.001,13.54,2.88,4.699
60m,LOW,maker,428.05,0.003,23.45,2.88,8.138
60m,LOW,maker,428.05,0.005,30.27,2.88,10.506
60m,LOW,maker,428.05,0.01,42.81,2.88,14.858
4h,HIGH,maker,220.86,0.001,6.98,2.88,2.424
4h,HIGH,maker,220.86,0.003,12.1,2.88,4.199
4h,HIGH,maker,220.86,0.005,15.62,2.88,5.421
4h,HIGH,maker,220.86,0.01,22.09,2.88,7.666
4h,MID,maker,275.17,0.001,8.7,2.88,3.02
4h,MID,maker,275.17,0.003,15.07,2.88,5.232
4h,MID,maker,275.17,0.005,19.46,2.88,6.754
4h,MID,maker,275.17,0.01,27.52,2.88,9.551
4h,LOW,maker,592.59,0.001,18.74,2.88,6.505
4h,LOW,maker,592.59,0.003,32.46,2.88,11.266
4h,LOW,maker,592.59,0.005,41.9,2.88,14.545
4h,LOW,maker,592.59,0.01,59.26,2.88,20.57
1m,HIGH,taker,25.4,0.001,0.8,5.73,0.14
1m,HIGH,taker,25.4,0.003,1.39,5.73,0.243
1m,HIGH,taker,25.4,0.005,1.8,5.73,0.313
1m,HIGH,taker,25.4,0.01,2.54,5.73,0.443
1m,MID,taker,36.14,0.001,1.14,5.73,0.199
1m,MID,taker,36.14,0.003,1.98,5.73,0.346
1m,MID,taker,36.14,0.005,2.56,5.73,0.446
1m,MID,taker,36.14,0.01,3.61,5.73,0.631
1m,LOW,taker,77.33,0.001,2.45,5.73,0.427
1m,LOW,taker,77.33,0.003,4.24,5.73,0.739
1m,LOW,taker,77.33,0.005,5.47,5.73,0.954
1m,LOW,taker,77.33,0.01,7.73,5.73,1.35
5m,HIGH,taker,48.26,0.001,1.53,5.73,0.266
5m,HIGH,taker,48.26,0.003,2.64,5.73,0.461
5m,HIGH,taker,48.26,0.005,3.41,5.73,0.596
5m,HIGH,taker,48.26,0.01,4.83,5.73,0.842
5m,MID,taker,57.11,0.001,1.81,5.73,0.315
5m,MID,taker,57.11,0.003,3.13,5.73,0.546
5m,MID,taker,57.11,0.005,4.04,5.73,0.705
5m,MID,taker,57.11,0.01,5.71,5.73,0.997
5m,LOW,taker,137.7,0.001,4.35,5.73,0.76
5m,LOW,taker,137.7,0.003,7.54,5.73,1.316
5m,LOW,taker,137.7,0.005,9.74,5.73,1.7
5m,LOW,taker,137.7,0.01,13.77,5.73,2.403
15m,HIGH,taker,73.3,0.001,2.32,5.73,0.405
15m,HIGH,taker,73.3,0.003,4.02,5.73,0.701
15m,HIGH,taker,73.3,0.005,5.18,5.73,0.905
15m,HIGH,taker,73.3,0.01,7.33,5.73,1.279
15m,MID,taker,86.27,0.001,2.73,5.73,0.476
15m,MID,taker,86.27,0.003,4.73,5.73,0.825
15m,MID,taker,86.27,0.005,6.1,5.73,1.065
15m,MID,taker,86.27,0.01,8.63,5.73,1.506
15m,LOW,taker,215.78,0.001,6.82,5.73,1.191
15m,LOW,taker,215.78,0.003,11.82,5.73,2.063
15m,LOW,taker,215.78,0.005,15.26,5.73,2.663
15m,LOW,taker,215.78,0.01,21.58,5.73,3.766
60m,HIGH,taker,132.77,0.001,4.2,5.73,0.733
60m,HIGH,taker,132.77,0.003,7.27,5.73,1.269
