id,fill_ntl,fill_n,first_ms,any_ntl
F0,909.68,11,11290,2319.60
F1,73.02,1,2578,1201.69
F2,99.69,3,17740,119.66
F3,94.08,1,442,94.08
F4,39.13,1,26600,480.70
F5,1790.58,15,52153,20274.19
F6,21452.21,97,1228,59847.22
F7,74.97,1,136093,321.98
F8,0.00,0,,0.00
F9,119.44,4,12130,131.09
F10,14963.74,9,28926,14963.74
F11,42.88,2,6860,42.88
F12,38.13,2,48157,164.51
F13,302.81,4,58793,655.16
F14,1031.82,8,117593,66720.53
F15,267.29,4,20236,267.29
F16,72.26,2,53006,10401.90
F17,327.43,7,10363,327.43
F18,35.00,1,5686,35.00
F19,34.99,1,116396,34.99
F20,257.83,5,143183,9625.62
F21,34.99,1,16744,235.21
F22,561.47,2,3360,4077.04
F23,34.90,1,40497,34.90
F24,35.00,1,88730,239.72
F25,150.80,7,8216,1357.66
F26,34.97,1,25903,34.97
F27,285.00,2,8355,322.05
F28,0.00,0,,15901.91
F29,274.09,2,4528,899.46
F30,35.00,2,42768,35.00
F31,447.53,5,42315,3226.58
F32,35.00,1,22783,35.00
F33,35.00,1,2883,35.00
F34,0.00,0,,427.66
F35,142.22,3,18114,142.22
F36,35.02,2,7608,234.44
F37,974.58,5,4683,1136.00
F38,35.00,1,78982,35.00
F39,5430.92,70,3397,6535.22
F40,950.11,3,32144,10684.25
F41,299.48,13,4359,1856.96
F42,267.70,7,2169,19280.29
F43,34.96,2,121781,70.96
F44,11364.75,14,20366,200574.25
F45,6141.79,19,2911,8021.37
F46,34.92,1,40458,4090.72
F47,35.00,1,85392,303.33
F48,97.81,6,8839,1841.10
F49,177.07,3,11927,211.85
F50,35.00,1,19940,221.10
F51,34.98,1,1348,34.98
F52,316.07,12,151740,876.67
F53,151.74,3,37621,7278.65
F54,62.67,5,26695,146.19
F55,61.06,4,8845,74.05
F56,762.23,19,38324,1238.28
F57,388.31,14,13167,1570.16
F58,35.00,3,69482,449.43
F59,345.40,4,52233,1109.34
F60,34.97,1,138717,476.49
F61,35.00,1,40809,1016.31
F62,179.90,3,42234,179.90
F63,55.02,2,32207,404.02
F64,523.77,10,1174,2533.72
F65,1146.69,6,4335,1518.06
F66,34.97,1,42027,940.53
F67,333.05,4,19927,333.05
F68,69.99,2,245609,334.29
F69,227.62,3,2993,776.68
F70,78.39,2,19282,78.39
F71,64.84,4,1900,99.25
F72,449.82,4,10065,449.82
F73,273.33,2,112936,1373.68
F74,160.81,2,54174,411.75
F75,30222.77,118,686,73649.97
F76,133.54,2,25951,133.54
F77,141.13,2,1507,600.17
F78,137.38,9,1069,368.67
F79,34.99,1,27012,1095.94
F80,85.01,3,47863,85.01
F81,34.99,2,112438,100.42
F82,649.28,5,7508,665.90
F83,272.63,9,2021,272.63
F84,254.74,10,14665,675.94
F85,4854.75,21,4741,6791.02
F86,505.81,3,99578,555.25
F87,128.02,3,2920,161.04
F88,2096.01,10,591,6116.68
F89,6800.44,34,1218,12627.46
F90,71.96,2,218274,161.26
F91,70428.36,65,2232,77248.86
F92,27.72,1,10263,98.23
F93,50.06,2,57341,363.93
F94,80.65,6,30628,147.66
F95,2093.81,15,2795,79651.57
F96,9743.16,35,4261,11914.90
F97,2453.01,16,139,5022.39
F98,995.59,16,10032,2608.35
F99,48.62,1,8341,48.62
F100,67.73,2,27824,67.73
F101,2286.71,7,8104,3901.66
F102,1142.05,23,97372,1407.92
F103,33.38,1,59386,316.76
F104,160.70,3,19783,179.50
F105,3546.67,18,474,5033.10
F106,51.99,2,23387,610.04
F107,103.34,2,4305,103.34
F108,2826.01,13,9629,2859.74
F109,1403.10,5,102039,25550.38
F110,84.31,3,1691,84.31
F111,633.78,11,43606,633.78
F112,5811.59,22,30632,20089.85
F113,821.91,9,5588,1536.22
F114,30.13,1,39128,30.13
F115,140.06,4,196090,709.19
F116,930.88,6,3828,1678.78
F117,23.80,2,18259,43.77
F118,1062.02,7,2205,1062.02
F119,774.40,5,1774,1118.12
F120,127.95,4,637,140.83
F121,93.84,2,67077,450.62
F122,51.73,2,59898,63.55
M123,0.00,0,,113.82
M124,0.00,0,,90.17
M125,0.00,0,,15708.27
M126,10.62,1,21674,1773.00
M127,0.00,0,,4302.14
M128,0.00,0,,10827.81
M129,0.00,0,,17092.13
M130,0.00,0,,764.13
M131,0.00,0,,1332.12
M132,15.91,1,4222,146.18
M133,0.00,0,,8518.80
M134,0.00,0,,211.32
M135,0.00,0,,13671.14
M136,0.00,0,,507.16
M137,0.00,0,,9141.48
M138,0.00,0,,7462.30
M139,0.00,0,,7674.92
M140,0.00,0,,13731.61
M141,0.00,0,,6116.46
M142,0.00,0,,320.24
M143,0.00,0,,29985.72
M144,0.00,0,,1286.76
M145,2103.96,16,3823,4895.31
M146,794.02,11,26300,853.43
M147,0.00,0,,959.92
M148,85.41,4,33286,135.39
M149,0.00,0,,4771.52
M150,0.00,0,,3402.23
M151,0.00,0,,1978.78
M152,16.44,1,262615,284.22
M153,0.00,0,,1179.03
M154,0.00,0,,374.81
M155,0.00,0,,2269.12
M156,0.00,0,,673.71
M157,0.00,0,,934.26
M158,0.00,0,,1957.25
M159,74.56,4,31747,282.54
M160,0.00,0,,2282.23
M161,0.00,0,,272.50
M162,0.00,0,,9747.43
M163,0.00,0,,14350.07
M164,0.00,0,,24948.29
M165,99.81,1,18879,38832.56
M166,16.16,1,1660,406.32
M167,1.33,1,9168,36834.23
M168,0.00,0,,3169.98
M169,0.00,0,,13293.87
