id,coin,t0,t1,px,is_buy,filled
F0,VVV,1785162673300,1785162796000,12.979,1,1
F1,STABLE,1785191540100,1785191687000,0.036417,1,1
F2,BOME,1785222948100,1785222993000,0.000563,0,1
F3,VVV,1785253560900,1785253562000,13.194,0,1
F4,kBONK,1785255346000,1785255395000,0.003029,0,1
F5,CASHCAT,1785278775000,1785278837000,0.041119,0,1
F6,CASHCAT,1785281472700,1785281555000,0.048305,0,1
F7,UMA,1785298538900,1785298676000,0.34774,1,1
F8,APEX,1785298563300,1785298565000,0.25124,1,1
F9,PUMP,1785298558100,1785298594000,0.001893,1,1
F10,W,1785298540600,1785298593000,0.00854,1,1
F11,BERA,1785341748600,1785341780000,0.15098,1,1
F12,POPCAT,1785358843300,1785358904000,0.040137,1,1
F13,ZK,1785355263300,1785355344000,0.007906,1,1
F14,KAITO,1785411063000,1785411196000,1.0448,1,1
F15,BOME,1785411049700,1785411094000,0.000598,0,1
F16,HEMI,1785425459000,1785425729000,0.004533,0,1
F17,PURR,1785440743200,1785440783000,0.064239,0,1
F18,HEMI,1785479462700,1785479490000,0.004624,0,1
F19,SYRUP,1785494768700,1785494901000,0.16428,0,1
F20,VINE,1785506470400,1785506746000,0.008972,0,1
F21,CHIP,1785513676100,1785513699000,0.025118,0,1
F22,LDO,1785513640300,1785513678000,0.34371,1,1
F23,MET,1785517267400,1785517313000,0.17717,0,1
F24,NIL,1785495655600,1785495747000,0.030486,1,1
F25,ORDI,1785546038700,1785546088000,3.7776,0,1
F26,MEGA,1785570375700,1785570403000,0.039384,0,1
F27,GOAT,1785595556500,1785595596000,0.013848,0,1
F28,kSHIB,1785599136000,1785599230000,0.005077,0,1
F29,STBL,1785586556600,1785586584000,0.023901,0,1
F30,SKR,1785600070700,1785600134000,0.006788,1,1
F31,KAITO,1785604561400,1785604613000,1.1766,0,1
F32,PEOPLE,1785649538200,1785649585000,0.006949,0,1
F33,HEMI,1785684661000,1785684688000,0.004886,0,1
F34,BABY,1785677449600,1785677662000,0.011261,1,1
F35,BOME,1785657648600,1785657692000,0.000624,0,1
F36,STBL,1785687353900,1785687382000,0.02547,0,1
F37,STRK,1785709852300,1785709879000,0.0252,0,1
F38,BABY,1785743164200,1785743262000,0.010748,1,1
F39,CASHCAT,1785753074700,1785753097000,0.050949,0,1
F40,MEGA,1785771955700,1785772003000,0.037518,0,1
F41,CASHCAT,1785780074400,1785780096000,0.052451,0,1
F42,CASHCAT,1785781870700,1785781892000,0.0654,0,1
F43,HYPER,1785803452100,1785803604000,0.060686,1,1
F44,CASHCAT,1785824164400,1785824429000,0.073584,0,1
F45,CFX,1785804334000,1785804388000,0.038984,1,1
F46,CC,1785826872200,1785826917000,0.10911,1,1
F47,SKR,1785843067400,1785843171000,0.00666,0,1
F48,HYPER,1785890757700,1785890791000,0.058024,1,1
F49,ZORA,1785894359600,1785894390000,0.005897,0,1
F50,STRK,1785876349800,1785876393000,0.02582,0,1
F51,BIO,1785893448400,1785893484000,0.02388,0,1
F52,HYPER,1785896169900,1785896342000,0.056992,1,1
F53,CASHCAT,1785928578500,1785928620000,0.097695,0,1
F54,PURR,1785918649400,1785918811000,0.070023,0,1
F55,PURR,1785944744600,1785944788000,0.069888,0,1
F56,HMSTR,1785984354700,1785984517000,0.000209,0,1
F57,GRIFFAIN,1785979846500,1785979883000,0.009076,0,1
F58,RESOLV,1786015863700,1786015935000,0.020079,0,1
F59,NIL,1786018558300,1786018613000,0.035936,0,1
F60,NIL,1786023959400,1786024115000,0.037522,0,1
F61,HEMI,1786032957100,1786033004000,0.005242,0,1
F62,BABY,1786068055300,1786068106000,0.011599,0,1
F63,PEOPLE,1786044634900,1786044681000,0.007273,0,1
F64,CHIP,1786059966900,1786059989000,0.026042,0,1
F65,HEMI,1786103156200,1786103184000,0.005641,0,1
F66,SPX,1786105865300,1786105922000,0.34017,0,1
F67,NIL,1786117551200,1786117584000,0.039036,0,1
F68,FOGO,1786122071200,1786122319000,0.008946,0,1
F69,NIL,1786128359700,1786128393000,0.041418,0,1
F70,BIO,1786131062200,1786131098000,0.025132,0,1
F71,GRIFFAIN,1786144549800,1786144585000,0.009963,0,1
F72,HMSTR,1786134654900,1786134697000,0.0002,0,1
F73,XAI,1786158945800,1786159219000,0.0067,1,1
F74,SKR,1786190466800,1786190530000,0.007746,0,1
F75,CASHCAT,1786210269800,1786210292000,0.11616,0,1
F76,PEOPLE,1786212033300,1786212080000,0.007463,0,1
F77,MERL,1786246247800,1786246370000,0.019853,0,1
F78,SAGA,1786226443100,1786226452000,0.01686,0,1
F79,BIO,1786257946400,1786257980000,0.02625,0,1
F80,PYTH,1786260647000,1786260757000,0.042617,0,1
