symbol,open_time_ms,close_time_ms,open_time_utc,open,high,low,close,volume,num_trades
KAITO-USDC,1784122560000,1784122619999,2026-07-15 13:36:00,0.76617,0.76675,0.76617,0.76675,4255.0,7
KAITO-USDC,1784122620000,1784122679999,2026-07-15 13:37:00,0.76495,0.76495,0.76427,0.76428,1426.0,13
KAITO-USDC,1784122680000,1784122739999,2026-07-15 13:38:00,0.76447,0.76579,0.76447,0.76453,1995.0,10
KAITO-USDC,1784122740000,1784122799999,2026-07-15 13:39:00,0.76428,0.76428,0.76347,0.76347,5975.0,7
KAITO-USDC,1784122800000,1784122859999,2026-07-15 13:40:00,0.76404,0.76404,0.76257,0.76257,6936.0,15
KAITO-USDC,1784122860000,1784122919999,2026-07-15 13:41:00,0.76257,0.76257,0.75948,0.75948,3269.0,23
KAITO-USDC,1784122920000,1784122979999,2026-07-15 13:42:00,0.75948,0.76055,0.7592,0.76001,5057.0,34
KAITO-USDC,1784122980000,1784123039999,2026-07-15 13:43:00,0.75921,0.76058,0.75712,0.75717,11175.0,42
KAITO-USDC,1784123040000,1784123099999,2026-07-15 13:44:00,0.75823,0.75823,0.75557,0.7558,1576.0,8
KAITO-USDC,1784123100000,1784123159999,2026-07-15 13:45:00,0.75692,0.75948,0.75692,0.75948,264.0,2
KAITO-USDC,1784123160000,1784123219999,2026-07-15 13:46:00,0.76064,0.76364,0.76064,0.76328,734.0,9
KAITO-USDC,1784123220000,1784123279999,2026-07-15 13:47:00,0.76105,0.76261,0.76105,0.76235,22578.0,15
KAITO-USDC,1784123280000,1784123339999,2026-07-15 13:48:00,0.7626,0.7626,0.76188,0.76188,266.0,2
KAITO-USDC,1784123340000,1784123399999,2026-07-15 13:49:00,0.76271,0.76567,0.76271,0.76529,7302.0,20
KAITO-USDC,1784123400000,1784123459999,2026-07-15 13:50:00,0.76525,0.76525,0.76317,0.76337,5509.0,11
KAITO-USDC,1784123460000,1784123519999,2026-07-15 13:51:00,0.76313,0.76313,0.76226,0.76226,278.0,2
KAITO-USDC,1784123520000,1784123579999,2026-07-15 13:52:00,0.76226,0.76226,0.76226,0.76226,0.0,0
