sym,t,dirn,day
AAVE,1784937600000,-1,07-25
SEI,1784937600000,-1,07-25
HBAR,1784939400000,-1,07-25
ETHFI,1784939400000,-1,07-25
ALGO,1784940300000,1,07-25
CC,1784940300000,-1,07-25
PENDLE,1784940300000,-1,07-25
LIT,1784943000000,-1,07-25
MON,1784943900000,-1,07-25
ENS,1784944800000,-1,07-25
ONDO,1784945700000,-1,07-25
XMR,1784947500000,1,07-25
ENS,1784947500000,-1,07-25
UNI,1784950200000,-1,07-25
MON,1784951100000,-1,07-25
UNI,1784951100000,-1,07-25
FARTCOIN,1784951100000,-1,07-25
WIF,1784952000000,1,07-25
CC,1784952000000,-1,07-25
UNI,1784955600000,-1,07-25
BLUR,1784956500000,-1,07-25
FARTCOIN,1784957400000,-1,07-25
PUMP,1784957400000,-1,07-25
MINA,1784957400000,-1,07-25
ADA,1784960100000,-1,07-25
APT,1784960100000,-1,07-25
MORPHO,1784961000000,-1,07-25
kPEPE,1784961000000,-1,07-25
ADA,1784961000000,-1,07-25
UNI,1784961000000,-1,07-25
NEAR,1784964600000,-1,07-25
MORPHO,1784964600000,1,07-25
SUI,1784964600000,-1,07-25
RENDER,1784965500000,-1,07-25
MEGA,1784965500000,-1,07-25
VVV,1784965500000,1,07-25
MINA,1784966400000,-1,07-25
FARTCOIN,1784966400000,-1,07-25
PUMP,1784966400000,-1,07-25
SUI,1784966400000,-1,07-25
PYTH,1784966400000,-1,07-25
BLUR,1784968200000,-1,07-25
LTC,1784969100000,-1,07-25
RENDER,1784969100000,-1,07-25
PYTH,1784969100000,-1,07-25
LTC,1784970000000,-1,07-25
UNI,1784970000000,-1,07-25
DOT,1784970900000,1,07-25
DOT,1784971800000,1,07-25
kSHIB,1784973600000,1,07-25
RUNE,1784973600000,1,07-25
WLFI,1784978100000,-1,07-25
SUSHI,1784979000000,-1,07-25
SKY,1784979900000,1,07-25
CC,1784984400000,1,07-25
kSHIB,1784986200000,1,07-25
AVAX,1784986200000,1,07-25
VVV,1784986200000,1,07-25
AVAX,1784987100000,1,07-25
kSHIB,1784987100000,1,07-25
kSHIB,1784988000000,1,07-25
AVAX,1784988000000,1,07-25
kSHIB,1784988900000,1,07-25
kSHIB,1784989800000,1,07-25
BERA,1784990700000,1,07-25
kSHIB,1784990700000,1,07-25
kSHIB,1784991600000,1,07-25
BERA,1784991600000,1,07-25
XRP,1784991600000,1,07-25
MON,1784991600000,-1,07-25
IMX,1784992500000,1,07-25
kSHIB,1784992500000,1,07-25
MOODENG,1784992500000,1,07-25
MOODENG,1784993400000,1,07-25
PEOPLE,1784993400000,1,07-25
kFLOKI,1784993400000,1,07-25
kSHIB,1784993400000,1,07-25
kBONK,1784993400000,1,07-25
DOGE,1784993400000,1,07-25
PEOPLE,1784994300000,1,07-25
PNUT,1784994300000,1,07-25
kSHIB,1784994300000,1,07-25
kBONK,1784995200000,1,07-25
DOGE,1784995200000,1,07-25
AVAX,1784995200000,1,07-25
AR,1784995200000,1,07-25
PEOPLE,1784995200000,1,07-25
kNEIRO,1784995200000,1,07-25
kSHIB,1784995200000,1,07-25
PENGU,1784995200000,1,07-25
WIF,1784995200000,1,07-25
kFLOKI,1784995200000,1,07-25
FET,1784995200000,1,07-25
POPCAT,1784995200000,1,07-25
BERA,1784996100000,1,07-25
AERO,1784996100000,-1,07-25
INJ,1784996100000,-1,07-25
BOME,1784996100000,1,07-25
kBONK,1784996100000,1,07-25
PEOPLE,1784997000000,1,07-25
kLUNC,1784997000000,1,07-25
DOGE,1784997000000,1,07-25
BERA,1784997000000,1,07-25
AVAX,1784997000000,1,07-25
XRP,1784997900000,1,07-25
kLUNC,1784997900000,1,07-25
kPEPE,1784997900000,1,07-25
DOGE,1784997900000,1,07-25
kPEPE,1784998800000,1,07-25
PENGU,1784998800000,1,07-25
DOGE,1784998800000,1,07-25
TRX,1784998800000,1,07-25
DOGE,1784999700000,1,07-25
TRX,1784999700000,1,07-25
WIF,1784999700000,1,07-25
PENGU,1784999700000,1,07-25
GRAM,1784999700000,1,07-25
ETH,1785000600000,1,07-25
DOGE,1785000600000,1,07-25
kSHIB,1785000600000,1,07-25
JUP,1785000600000,1,07-25
BERA,1785000600000,1,07-25
GRAM,1785000600000,1,07-25
kFLOKI,1785000600000,1,07-25
kNEIRO,1785001500000,1,07-25
BOME,1785001500000,1,07-25
WIF,1785002400000,1,07-25
PEOPLE,1785002400000,1,07-25
VVV,1785002400000,1,07-25
PENGU,1785002400000,1,07-25
GRAM,1785002400000,1,07-25
POPCAT,1785002400000,1,07-25
BOME,1785002400000,1,07-25
PEOPLE,1785003300000,1,07-25
WIF,1785003300000,1,07-25
GRAM,1785003300000,1,07-25
PAXG,1785004200000,1,07-25
FET,1785005100000,1,07-25
PNUT,1785006000000,1,07-25
PEOPLE,1785006000000,1,07-25
PEOPLE,1785007800000,1,07-25
LTC,1785007800000,1,07-25
WIF,1785008700000,1,07-25
BIO,1785011400000,-1,07-25
AVAX,1785013200000,1,07-25
FET,1785015900000,1,07-25
FIL,1785015900000,1,07-25
FIL,1785016800000,1,07-25
SEI,1785016800000,1,07-25
AVAX,1785017700000,1,07-25
PURR,1785020400000,-1,07-25
DASH,1785020400000,1,07-25
PURR,1785021300000,-1,07-25
PURR,1785022200000,-1,07-25
JTO,1785022200000,-1,07-25
JTO,1785023100000,-1,07-25
ETHFI,1785024000000,-1,07-26
CC,1785024000000,1,07-26
ETC,1785024000000,1,07-26
ETHFI,1785025800000,-1,07-26
BOME,1785025800000,1,07-26
BOME,1785026700000,1,07-26
FARTCOIN,1785026700000,1,07-26
BOME,1785028500000,1,07-26
BOME,1785029400000,1,07-26
ICP,1785029400000,1,07-26
ORDI,1785030300000,1,07-26
kSHIB,1785030300000,1,07-26
BOME,1785030300000,1,07-26
POPCAT,1785030300000,1,07-26
ETC,1785031200000,1,07-26
ORDI,1785031200000,1,07-26
WLD,1785031200000,-1,07-26
MOODENG,1785031200000,1,07-26
ORDI,1785032100000,1,07-26
kPEPE,1785032100000,1,07-26
kPEPE,1785033000000,1,07-26
BRETT,1785033000000,1,07-26
ORDI,1785033000000,1,07-26
kFLOKI,1785033000000,1,07-26
FARTCOIN,1785033900000,1,07-26
SOL,1785034800000,1,07-26
PUMP,1785034800000,1,07-26
LTC,1785034800000,1,07-26
ORDI,1785034800000,1,07-26
ZORA,1785034800000,1,07-26
BRETT,1785034800000,1,07-26
ETC,1785034800000,1,07-26
ORDI,1785035700000,1,07-26
kSHIB,1785036600000,1,07-26
BOME,1785036600000,1,07-26
FARTCOIN,1785036600000,1,07-26
MET,1785036600000,1,07-26
kPEPE,1785037500000,1,07-26
ICP,1785037500000,1,07-26
ORDI,1785039300000,1,07-26
VVV,1785039300000,1,07-26
MELANIA,1785039300000,1,07-26
MELANIA,1785040200000,1,07-26
VVV,1785040200000,1,07-26
ETH,1785040200000,1,07-26
SUI,1785040200000,1,07-26
BIO,1785040200000,-1,07-26
LINK,1785040200000,1,07-26
kPEPE,1785042000000,1,07-26
BIO,1785042000000,-1,07-26
kSHIB,1785042000000,1,07-26
PEOPLE,1785042000000,1,07-26
BOME,1785042000000,1,07-26
JTO,1785042000000,-1,07-26
POPCAT,1785042000000,1,07-26
TRUMP,1785042900000,1,07-26
ORDI,1785042900000,1,07-26
CASHCAT,1785042900000,-1,07-26
BOME,1785043800000,1,07-26
MOODENG,1785043800000,1,07-26
PEOPLE,1785043800000,1,07-26
kPEPE,1785043800000,1,07-26
POPCAT,1785043800000,1,07-26
LTC,1785043800000,1,07-26
CASHCAT,1785043800000,-1,07-26
BOME,1785044700000,1,07-26
VVV,1785044700000,1,07-26
TAO,1785044700000,1,07-26
PEOPLE,1785044700000,1,07-26
BRETT,1785045600000,1,07-26
INJ,1785045600000,-1,07-26
PAXG,1785045600000,1,07-26
INJ,1785046500000,-1,07-26
VVV,1785046500000,1,07-26
AAVE,1785047400000,1,07-26
VVV,1785047400000,1,07-26
BNB,1785048300000,1,07-26
kPEPE,1785048300000,1,07-26
MOODENG,1785048300000,1,07-26
BOME,1785049200000,1,07-26
STRK,1785049200000,1,07-26
LINEA,1785049200000,1,07-26
LTC,1785049200000,1,07-26
SPX,1785049200000,1,07-26
EIGEN,1785050100000,1,07-26
LTC,1785051900000,1,07-26
CAKE,1785052800000,1,07-26
LTC,1785052800000,1,07-26
FIL,1785055500000,1,07-26
CAKE,1785055500000,1,07-26
WLFI,1785055500000,-1,07-26
NIL,1785056400000,1,07-26
LTC,1785056400000,1,07-26
ENA,1785059100000,-1,07-26
AAVE,1785060000000,1,07-26
IMX,1785060000000,1,07-26
