sym,t,dirn,rv,vratio,ats,pierce,tier,m1,m2,m4,m8,m16,m32,day
AAVE,1784937600000,-1,0.002949354891750425,6.127662526885451,1.1444329627434044,0.0030591948804427863,HIGH,49.38076395669201,19.98112412940124,76.827660179218,78.88888953980356,57.84265291067267,85.61500640065947,07-25
SEI,1784937600000,-1,0.0027849558669590865,16.590955099396737,3.8812791769681545,0.006989832970225031,MID,1.3547426638639832,-16.699924124691343,7.753865069934065,3.4116034372441053,-6.415620257792317,-42.52495383490138,07-25
HBAR,1784939400000,-1,0.0032781951509860533,7.898369953947121,2.4230774802622173,0.003884904371584635,MID,-37.15902041457706,-39.87334490492567,-116.30300818583078,-78.30246532093238,-63.01653266475215,26.55617551679366,07-25
ETHFI,1784939400000,-1,0.0038095052190588144,8.217935820777429,2.0077772589423795,0.00816668662435629,HIGH,-28.88484804630875,11.394939700917604,-53.00448142788137,-101.96733719247453,-25.508099372889227,78.20632416787357,07-25
ALGO,1784940300000,1,0.0037964266149378423,58.39978701260982,6.011783543192055,0.0074583328567016305,MID,-303.66128505574875,-289.4686742966144,-302.29879442287205,-344.08184049776287,-384.7294777119234,-449.1071601153582,07-25
CC,1784940300000,-1,0.0023228220600751397,6.740383394693411,2.398436835873927,0.006641689373297027,MID,-7.444530647234655,13.129837119588338,32.846939562795185,20.84522503214785,-4.872734676381484,-34.01975567938251,07-25
PENDLE,1784940300000,-1,0.003266362160188803,8.12084514300438,4.081200650202389,0.0008817145957676728,MID,-8.445730871070378,-13.877192613211133,8.527587073120989,-28.13477968633212,37.72169393713207,105.61496571389904,07-25
LIT,1784943000000,-1,0.004623658814624164,13.819649148471882,2.183169369104902,0.007945572826140942,HIGH,2.7789343811003295,-15.23998548475906,-12.737357725612231,-33.25890535061845,9.285766554883196,-159.39134441163196,07-25
MON,1784943900000,-1,0.00379555042680172,145.50563159857933,6.57537204049577,0.012855365617656612,HIGH,-27.6690374830782,25.07801008262152,19.00976567240861,114.70131214115729,135.2399855295711,174.91696821173593,07-25
ENS,1784944800000,-1,0.0023647283835064943,7.988156920799409,4.888008216217868,0.0003251805913641999,MID,-8.9848299351345,24.028445121243266,17.286297398460974,-107.32719154674031,-11.077220607723174,-36.18590867877076,07-25
ONDO,1784945700000,-1,0.004312830602371677,16.479207710485092,6.550161861972487,0.00578951542548965,HIGH,-19.292026326286678,-23.014935513894002,-11.84620795107055,-7.857376678633813,22.72366307671893,-121.40610690067865,07-25
XMR,1784947500000,1,0.003148568587434046,5.390365370704774,2.257814695894501,0.0037228260869565342,HIGH,6.996435785653526,59.52683030516435,-1.9391467872522723,47.61272020795458,-68.8206284693072,-81.81783948444402,07-25
ENS,1784947500000,-1,0.0023258134380038657,6.636136962247586,1.3311310486458525,0.0014436398351455892,MID,-17.161237606439116,-15.761494226057968,-120.50895719118141,-55.42089000349958,-75.48387845561552,-76.88362183599668,07-25
UNI,1784950200000,-1,0.003979818796390721,14.018953124676347,3.6991493368613453,0.0007729829144121072,HIGH,27.615782425439303,73.49957904284283,83.63669690017629,158.8647820519663,183.67404417649303,223.68898308701995,07-25
