name,day_notional_vol
BTC,1808508747.535179
ETH,867994709.84998
ATOM,307359.9610769999
DYDX,418895.07755
SOL,174297701.65275005
AVAX,2441331.2271399996
BNB,5172070.1931799995
APE,305999.9334059999
OP,808492.2244029999
LTC,3291721.066099999
ARB,4403354.761737001
DOGE,3561665.575821998
INJ,1616561.6621199998
SUI,9604772.776202997
kPEPE,4470745.5726769995
CRV,4553685.610886
LDO,2299025.4472669987
LINK,5551309.0930900015
STX,121013.447442
CFX,155812.709784
GMX,207984.145148
SNX,277505.835465
XRP,19996692.682400007
BCH,1641127.087300001
APT,929173.992528
AAVE,10006967.141100002
COMP,167861.84528
WLD,7503782.765656999
YGG,92596.718662
TRX,4143542.7048599995
kSHIB,642792.0257320002
UNI,6413777.657450003
SEI,404656.624622
RUNE,538578.8900190003
ZRO,3501341.098470999
DOT,1813823.9043449997
BANANA,148785.18262
TRB,152822.49987
BIGTIME,120610.401483
KAS,228138.072256
BLUR,289332.107514
TIA,984661.4389180002
BSV,231733.3456899999
ADA,3571262.6288900003
MINA,412610.294143
POLYX,123667.123853
GAS,81082.39202
PENDLE,1254787.0726
FET,571008.4205300002
NEAR,27167554.471530017
MEME,104646.280788
ORDI,411377.9891749999
NEO,63112.792695
ZEN,127648.291369
FIL,478850.5127870002
PYTH,1348773.4907719998
SUSHI,284977.4188869999
IMX,157196.278403
kBONK,10983052.036755005
GMT,116524.985835
SUPER,74333.36418
JUP,2548395.066289999
kLUNC,135266.301053
RSR,44581.40896
GALA,182344.2639730001
JTO,2743323.8356800005
ACE,88151.426358
WIF,683429.97605
CAKE,146644.2741
PEOPLE,93856.437266
ENS,828597.4226970001
ETC,309914.9792789999
XAI,57509.085501
MANTA,257052.165682
UMA,104162.234797
ONDO,21154006.8555
ALT,243863.35163
ZETA,122125.181717
DYM,117166.713285
W,380189.9944760001
STRK,551159.9669929999
TAO,4141417.5692700003
AR,372223.452052
kFLOKI,160427.756338
BOME,24212.859144
ETHFI,2722861.0474630003
ENA,5666488.177217001
MNT,344736.0146360002
TNSR,28365.440295
SAGA,78728.337439
MERL,173652.657562
HBAR,423960.9956040001
POPCAT,227550.229834
EIGEN,3367755.211595
REZ,138657.3406
NOT,20269.435831
TURBO,85972.662781
BRETT,228892.6184479999
IO,248716.815499
ZK,196173.6681950002
RENDER,309036.25419
POL,427494.9407430002
CELO,236956.1846370001
HMSTR,242189.436525
kNEIRO,144630.976269
GOAT,104806.512489
MOODENG,133313.4270670001
GRASS,828461.0217149998
PURR,1078546.0217819996
PNUT,287163.4999039999
XLM,2334703.6323900004
SAND,143475.448744
IOTA,109941.396018
ALGO,358956.0073229999
HYPE,674181210.2368605
ME,154381.8912249999
MOVE,158696.85853
VIRTUAL,4607941.978460999
PENGU,2024247.1859680004
USUAL,185667.985398
FARTCOIN,9897189.124338996
AIXBT,120236.616002
BIO,174633.023343
GRIFFAIN,63586.341396
SPX,755269.950304
S,316065.9659219999
MORPHO,1510118.4415799999
TRUMP,1716365.8943999994
MELANIA,124199.072577
ANIME,80285.606262
VINE,394098.798899
VVV,4698446.573831999
BERA,355244.350621
LAYER,93901.902304
KAITO,16264193.869800001
NIL,221633.696824
PAXG,1573659.5593
BABY,170522.7269110001
WCT,79215.966595
HYPER,94123.769681
ZORA,643096.671325
INIT,114775.374274
NXPC,58098.27895
SOPH,55166.387902
RESOLV,443847.9151890001
SYRUP,733199.9531899998
PUMP,29721574.001802016
PROVE,113469.81035
XPL,5456963.777382
WLFI,1310114.2361119995
LINEA,311732.761698
SKY,345869.8313760001
ASTER,898131.1849999998
AVNT,265044.766014
STBL,364284.6482779999
0G,352376.39334
HEMI,143759.489481
APEX,135635.60134
2Z,204082.3619899999
ZEC,126401472.06010003
MON,1649078.6801270007
MET,1326903.5317499996
MEGA,481946.2116470001
CC,471709.80522
ICP,492419.6233499998
AERO,3797349.599789999
STABLE,871202.6950989999
FOGO,121412.958146
LIT,34741480.6982
XMR,4977650.514380001
AXS,210741.180307
DASH,181123.82666
SKR,132218.005442
AZTEC,96807.116982
CHIP,404921.567499
GRAM,7715102.600200001
CASHCAT,77636418.44372201
