sym,t,dirn,fade_bps,signalled,rv,tier
ASTER,1784592000000,1,-60.809912090710775,0,0.0012720904840166,HIGH
RENDER,1784592000000,1,-132.90421204566354,0,0.0025008081641636,MID
MEGA,1784592000000,-1,130.89995489185964,0,0.0041066987114682,MID
NEAR,1784592900000,1,18.577679646728075,1,0.003827518301452,HIGH
UNI,1784593800000,1,-94.97710068643568,1,0.0041311844944531,HIGH
USUAL,1784593800000,1,-162.09090909090853,1,0.0041177763570434,MID
LDO,1784593800000,1,-66.53886036700052,1,0.0053518177720812,HIGH
ASTER,1784593800000,1,11.94008074000987,0,0.0012409392448709,HIGH
ICP,1784593800000,1,25.369433061647104,0,0.0029091541290226,HIGH
S,1784595600000,1,56.31803896920111,0,0.0042135809540902,LOW
MELANIA,1784595600000,1,-81.38745800671963,0,0.003171313626922,LOW
MELANIA,1784596500000,1,25.37404391808464,0,0.0032833080966736,LOW
IMX,1784597400000,-1,20.390869495079738,0,0.0024402593931516,MID
CELO,1784600100000,1,-120.70726714431868,0,0.003191549836682,LOW
XMR,1784600100000,1,-183.9675141242948,0,0.0020840599601924,HIGH
ME,1784601000000,1,-210.23736649131348,0,0.0025124657932889,MID
XMR,1784601000000,1,-188.576697204604,0,0.0020869744986933,HIGH
kFLOKI,1784602800000,1,25.22506015176687,0,0.0031919564112529,LOW
NXPC,1784602800000,1,-82.52449272391873,0,0.0033514810099403,LOW
NEAR,1784602800000,1,35.636813948880665,1,0.0036502000669176,HIGH
kSHIB,1784602800000,1,15.700327255725403,0,0.0024050107131283,MID
FET,1784602800000,1,-178.87778419667453,0,0.0027524102757089,MID
BCH,1784602800000,1,-84.22419673308214,0,0.0024597710712936,MID
XMR,1784602800000,1,18.015148419486508,0,0.0021268486107206,HIGH
ZK,1784602800000,1,42.957802381448616,0,0.0036993544826868,LOW
RENDER,1784602800000,1,18.5306322176542,0,0.0022024269617145,MID
ENS,1784602800000,1,98.4948190929158,1,0.0038500566425938,MID
PENDLE,1784603700000,1,-179.24380392876776,1,0.0036981838349653,MID
STABLE,1784603700000,1,-209.17995865520663,0,0.0026159597932294,LOW
0G,1784603700000,1,-130.402647759375,0,0.0042563513040391,MID
USUAL,1784603700000,1,30.670033670032296,1,0.0042578419006556,MID
ONDO,1784603700000,1,65.07389311300919,1,0.0043199849295941,HIGH
PENDLE,1784604600000,1,-143.15843997562405,1,0.0037166097191303,MID
PROVE,1784604600000,1,-186.2169247899577,0,0.0028516910245917,LOW
SOPH,1784604600000,1,-80.87151200519051,0,0.003391958585271,LOW
0G,1784604600000,1,141.87945144879512,0,0.0042577740956894,MID
YGG,1784605500000,1,-215.9297075423287,0,0.0050860085032178,LOW
IO,1784605500000,1,84.77100936660823,0,0.0041120777768806,MID
XMR,1784605500000,1,108.2584308525974,0,0.0022675373992229,HIGH
AAVE,1784605500000,1,-239.3055123552793,0,0.0032535600286939,HIGH
BCH,1784605500000,1,12.65015203004804,0,0.0023976643896647,MID
FARTCOIN,1784606400000,1,40.56686107792718,1,0.0051956194513493,HIGH
USUAL,1784606400000,1,85.98776418242515,1,0.0043877720833788,MID
PROVE,1784608200000,1,80.31254676976688,0,0.0031246341895867,LOW
VVV,1784609100000,1,-538.511132780758,1,0.0051029418710507,HIGH
LINK,1784609100000,1,7.321456013395347,0,0.0033533534912184,HIGH
SOPH,1784609100000,1,16.157088122606062,0,0.0035888237770513,LOW
XRP,1784610000000,1,26.16224814421933,0,0.0024780453173539,HIGH
BCH,1784610000000,1,27.24103886862967,0,0.0021742178967414,MID
COMP,1784610000000,1,-130.86081270434448,0,0.0024086324101187,LOW
APT,1784610000000,1,-47.211560504338046,1,0.0037548517043767,MID
VVV,1784610000000,1,47.79006772009079,1,0.0051549036332722,HIGH
ADA,1784610000000,1,-30.987205848754307,1,0.0043085134894779,HIGH
MELANIA,1784610000000,1,45.90573419733434,0,0.0033679317064787,LOW
YGG,1784610000000,1,71.93352671017593,0,0.0059767482125584,LOW
ME,1784610000000,1,67.25761124121657,0,0.0026494195795917,MID
PURR,1784610000000,1,38.16319213915877,0,0.0034603942980573,MID
ADA,1784610900000,1,38.38087410010818,1,0.0043615909066765,HIGH
COMP,1784610900000,1,19.16648194598393,0,0.0024087487509244,LOW
VVV,1784610900000,1,239.72612270714768,1,0.0054745549035383,HIGH
FOGO,1784610900000,1,22.999350016249288,0,0.0031250743136727,MID
KAS,1784610900000,1,73.20778857582306,0,0.0022171945757571,LOW
APT,1784610900000,1,82.70504527813668,1,0.0039493952662666,MID
OP,1784611800000,1,-28.976724854530364,1,0.0034872816551932,MID
